driver,GP_name,driver_home,driver_conf,active_driver,best_position,driver_score,dob,date_first_race
Alexander Albon,Red Bull Ring,0,0.9285714285714286,1,4,0.8,1996-03-23,2019-03-17
Alexander Albon,Silverstone Circuit,0,0.9285714285714286,1,5,1.1,1996-03-23,2019-03-17
Alexander Albon,Sochi Autodrom,0,0.9285714285714286,1,5,2.0,1996-03-23,2019-03-17
Alexander Albon,Suzuka Circuit,0,0.9285714285714286,1,4,0.5,1996-03-23,2019-03-17
Alexander Albon,Yas Marina Circuit,0,0.9285714285714286,1,4,1.5,1996-03-23,2019-03-17
Carlos Sainz,Albert Park Grand Prix Circuit,0,0.9022988505747126,1,8,0.9285714285714284,1994-09-01,2015-03-15
Carlos Sainz,Autodromo Enzo e Dino Ferrari,0,0.9022988505747126,1,5,1.0,1994-09-01,2015-03-15
Carlos Sainz,Autodromo Internazionale del Mugello,0,0.9022988505747126,1,100,-1.0,1994-09-01,2015-03-15
Carlos Sainz,Autodromo Nazionale di Monza,0,0.9022988505747126,1,2,1.3125,1994-09-01,2015-03-15
Carlos Sainz,Autódromo Hermanos Rodríguez,0,0.9022988505747126,1,5,0.4999999999999999,1994-09-01,2015-03-15
Carlos Sainz,Autódromo Internacional do Algarve,0,0.9022988505747126,1,6,1.25,1994-09-01,2015-03-15
Carlos Sainz,Autódromo José Carlos Pace,0,0.9022988505747126,1,3,1.7142857142857142,1994-09-01,2015-03-15
Carlos Sainz,Bahrain International Circuit,0,0.9022988505747126,1,2,0.85,1994-09-01,2015-03-15
Carlos Sainz,Baku City Circuit,0,0.9022988505747126,1,5,1.1428571428571428,1994-09-01,2015-03-15
Carlos Sainz,Circuit Gilles Villeneuve,0,0.9022988505747126,1,2,1.4285714285714286,1994-09-01,2015-03-15
Carlos Sainz,Circuit Park Zandvoort,0,0.9022988505747126,1,7,2.0,1994-09-01,2015-03-15
Carlos Sainz,Circuit Paul Ricard,0,0.9022988505747126,1,5,1.625,1994-09-01,2015-03-15
Carlos Sainz,Circuit de Barcelona-Catalunya,1,0.9022988505747126,1,4,2.0,1994-09-01,2015-03-15
Carlos Sainz,Circuit de Monaco,0,0.9022988505747126,1,2,2.5,1994-09-01,2015-03-15
Carlos Sainz,Circuit de Spa-Francorchamps,0,0.9022988505747126,1,3,0.3888888888888888,1994-09-01,2015-03-15
Carlos Sainz,Circuit of the Americas,0,0.9022988505747126,1,6,1.5714285714285714,1994-09-01,2015-03-15
Carlos Sainz,Hockenheimring,0,0.9022988505747126,1,5,1.0,1994-09-01,2015-03-15
Carlos Sainz,Hungaroring,0,0.9022988505747126,1,3,1.8888888888888888,1994-09-01,2015-03-15
Carlos Sainz,Istanbul Park,0,0.9022988505747126,1,5,2.0,1994-09-01,2015-03-15
Carlos Sainz,Jeddah Corniche Circuit,0,0.9022988505747126,1,3,2.6666666666666665,1994-09-01,2015-03-15
Carlos Sainz,Losail International Circuit,0,0.9022988505747126,1,7,2.0,1994-09-01,2015-03-15
Carlos Sainz,Marina Bay Street Circuit,0,0.9022988505747126,1,3,1.8333333333333333,1994-09-01,2015-03-15
Carlos Sainz,Miami International Autodrome,0,0.9022988505747126,1,3,3.0,1994-09-01,2015-03-15
Carlos Sainz,Nürburgring,0,0.9022988505747126,1,5,2.0,1994-09-01,2015-03-15
Carlos Sainz,Red Bull Ring,0,0.9022988505747126,1,5,1.0454545454545454,1994-09-01,2015-03-15
Carlos Sainz,Sepang International Circuit,0,0.9022988505747126,1,8,0.4999999999999999,1994-09-01,2015-03-15
Carlos Sainz,Shanghai International Circuit,0,0.9022988505747126,1,7,1.4,1994-09-01,2015-03-15
Carlos Sainz,Silverstone Circuit,0,0.9022988505747126,1,1,1.35,1994-09-01,2015-03-15
Carlos Sainz,Sochi Autodrom,0,0.9022988505747126,1,3,1.3333333333333333,1994-09-01,2015-03-15
Carlos Sainz,Suzuka Circuit,0,0.9022988505747126,1,5,0.75,1994-09-01,2015-03-15
Carlos Sainz,Yas Marina Circuit,0,0.9022988505747126,1,3,1.3125,1994-09-01,2015-03-15
Charles Leclerc,Albert Park Grand Prix Circuit,0,0.8956521739130435,1,1,2.25,1997-10-16,2018-03-25
Charles Leclerc,Autodromo Enzo e Dino Ferrari,0,0.8956521739130435,1,4,2.0,1997-10-16,2018-03-25
Charles Leclerc,Autodromo Internazionale del Mugello,0,0.8956521739130435,1,8,2.0,1997-10-16,2018-03-25
Charles Leclerc,Autodromo Nazionale di Monza,0,0.8956521739130435,1,1,2.6,1997-10-16,2018-03-25
Charles Leclerc,Autódromo Hermanos Rodríguez,0,0.8956521739130435,1,4,2.0,1997-10-16,2018-03-25
Charles Leclerc,Autódromo Internacional do Algarve,0,0.8956521739130435,1,4,2.0,1997-10-16,2018-03-25
Charles Leclerc,Autódromo José Carlos Pace,0,0.8956521739130435,1,4,1.625,1997-10-16,2018-03-25
Charles Leclerc,Bahrain International Circuit,0,0.8956521739130435,1,1,2.0,1997-10-16,2018-03-25
Charles Leclerc,Baku City Circuit,0,0.8956521739130435,1,3,1.8,1997-10-16,2018-03-25
Charles Leclerc,Circuit Gilles Villeneuve,0,0.8956521739130435,1,3,2.5,1997-10-16,2018-03-25
Charles Leclerc,Circuit Park Zandvoort,0,0.8956521739130435,1,3,3.0,1997-10-16,2018-03-25
Charles Leclerc,Circuit Paul Ricard,0,0.8956521739130435,1,3,1.375,1997-10-16,2018-03-25
Charles Leclerc,Circuit de Barcelona-Catalunya,0,0.8956521739130435,1,4,0.75,1997-10-16,2018-03-25
Charles Leclerc,Circuit de Monaco,1,0.8956521739130435,1,4,0.2,1997-10-16,2018-03-25
Charles Leclerc,Circuit de Spa-Francorchamps,0,0.8956521739130435,1,1,2.5,1997-10-16,2018-03-25
Charles Leclerc,Circuit of the Americas,0,0.8956521739130435,1,3,1.75,1997-10-16,2018-03-25
Charles Leclerc,Hockenheimring,0,0.8956521739130435,1,15,-0.25,1997-10-16,2018-03-25
Charles Leclerc,Hungaroring,0,0.8956521739130435,1,4,0.75,1997-10-16,2018-03-25
Charles Leclerc,Istanbul Park,0,0.8956521739130435,1,4,2.0,1997-10-16,2018-03-25
Charles Leclerc,Jeddah Corniche Circuit,0,0.8956521739130435,1,2,2.6666666666666665,1997-10-16,2018-03-25
Charles Leclerc,Losail International Circuit,0,0.8956521739130435,1,8,2.0,1997-10-16,2018-03-25
Charles Leclerc,Marina Bay Street Circuit,0,0.8956521739130435,1,2,3.333333333333333,1997-10-16,2018-03-25
Charles Leclerc,Miami International Autodrome,0,0.8956521739130435,1,2,3.0,1997-10-16,2018-03-25
Charles Leclerc,Nürburgring,0,0.8956521739130435,1,7,2.0,1997-10-16,2018-03-25
Charles Leclerc,Red Bull Ring,0,0.8956521739130435,1,1,3.0625,1997-10-16,2018-03-25
Charles Leclerc,Shanghai International Circuit,0,0.8956521739130435,1,5,1.25,1997-10-16,2018-03-25
Charles Leclerc,Silverstone Circuit,0,0.8956521739130435,1,2,2.4285714285714284,1997-10-16,2018-03-25
Charles Leclerc,Sochi Autodrom,0,0.8956521739130435,1,3,2.125,1997-10-16,2018-03-25
Charles Leclerc,Suzuka Circuit,0,0.8956521739130435,1,3,1.6666666666666663,1997-10-16,2018-03-25
Charles Leclerc,Yas Marina Circuit,0,0.8956521739130435,1,2,2.5,1997-10-16,2018-03-25
Daniel Ricciardo,Albert Park Grand Prix Circuit,1,0.9527896995708156,1,4,0.6666666666666667,1989-07-01,2011-07-10
Daniel Ricciardo,Autodromo Enzo e Dino Ferrari,0,0.9527896995708156,1,3,2.1666666666666665,1989-07-01,2011-07-10
Daniel Ricciardo,Autodromo Internazionale del Mugello,0,0.9527896995708156,1,4,2.0,1989-07-01,2011-07-10
Daniel Ricciardo,Autodromo Nazionale di Monza,0,0.9527896995708156,1,1,1.5833333333333337,1989-07-01,2011-07-10
Daniel Ricciardo,Autódromo Hermanos Rodríguez,0,0.9527896995708156,1,3,1.2142857142857144,1989-07-01,2011-07-10
Daniel Ricciardo,Autódromo Internacional do Algarve,0,0.9527896995708156,1,9,2.0,1989-07-01,2011-07-10
Daniel Ricciardo,Autódromo José Carlos Pace,0,0.9527896995708156,1,4,0.7727272727272727,1989-07-01,2011-07-10
Daniel Ricciardo,Bahrain International Circuit,0,0.9527896995708156,1,4,1.1249999999999998,1989-07-01,2011-07-10
Daniel Ricciardo,Baku City Circuit,0,0.9527896995708156,1,1,1.9166666666666667,1989-07-01,2011-07-10
Daniel Ricciardo,Buddh International Circuit,0,0.9527896995708156,1,10,1.0,1989-07-01,2011-07-10
Daniel Ricciardo,Circuit Gilles Villeneuve,0,0.9527896995708156,1,1,2.1666666666666665,1989-07-01,2011-07-10
Daniel Ricciardo,Circuit Park Zandvoort,0,0.9527896995708156,1,11,0.5,1989-07-01,2011-07-10
Daniel Ricciardo,Circuit Paul Ricard,0,0.9527896995708156,1,4,1.625,1989-07-01,2011-07-10
Daniel Ricciardo,Circuit de Barcelona-Catalunya,0,0.9527896995708156,1,3,1.818181818181818,1989-07-01,2011-07-10
Daniel Ricciardo,Circuit de Monaco,0,0.9527896995708156,1,1,2.25,1989-07-01,2011-07-10
Daniel Ricciardo,Circuit de Spa-Francorchamps,0,0.9527896995708156,1,1,1.6923076923076923,1989-07-01,2011-07-10
Daniel Ricciardo,Circuit of the Americas,0,0.9527896995708156,1,3,1.35,1989-07-01,2011-07-10
Daniel Ricciardo,Hockenheimring,0,0.9527896995708156,1,2,0.9,1989-07-01,2011-07-10
Daniel Ricciardo,Hungaroring,0,0.9527896995708156,1,1,1.6923076923076927,1989-07-01,2011-07-10
Daniel Ricciardo,Istanbul Park,0,0.9527896995708156,1,10,1.25,1989-07-01,2011-07-10
Daniel Ricciardo,Jeddah Corniche Circuit,0,0.9527896995708156,1,5,0.5,1989-07-01,2011-07-10
Daniel Ricciardo,Korean International Circuit,0,0.9527896995708156,1,9,1.0,1989-07-01,2011-07-10
Daniel Ricciardo,Losail International Circuit,0,0.9527896995708156,1,12,0.5,1989-07-01,2011-07-10
Daniel Ricciardo,Marina Bay Street Circuit,0,0.9527896995708156,1,2,2.2,1989-07-01,2011-07-10
Daniel Ricciardo,Miami International Autodrome,0,0.9527896995708156,1,13,0.5,1989-07-01,2011-07-10
Daniel Ricciardo,Nürburgring,0,0.9527896995708156,1,3,1.6666666666666663,1989-07-01,2011-07-10
Daniel Ricciardo,Red Bull Ring,0,0.9527896995708156,1,3,1.3636363636363635,1989-07-01,2011-07-10
Daniel Ricciardo,Sepang International Circuit,0,0.9527896995708156,1,1,2.25,1989-07-01,2011-07-10
Daniel Ricciardo,Shanghai International Circuit,0,0.9527896995708156,1,1,2.5,1989-07-01,2011-07-10
Daniel Ricciardo,Silverstone Circuit,0,0.9527896995708156,1,3,1.461538461538462,1989-07-01,2011-07-10
Daniel Ricciardo,Sochi Autodrom,0,0.9527896995708156,1,4,0.875,1989-07-01,2011-07-10
Daniel Ricciardo,Suzuka Circuit,0,0.9527896995708156,1,3,1.2999999999999998,1989-07-01,2011-07-10
Daniel Ricciardo,Valencia Street Circuit,0,0.9527896995708156,1,11,0.5,1989-07-01,2011-07-10
Daniel Ricciardo,Yas Marina Circuit,0,0.9527896995708156,1,4,1.0454545454545454,1989-07-01,2011-07-10
Esteban Ocon,Albert Park Grand Prix Circuit,0,0.9426229508196722,1,7,1.25,1996-09-17,2016-08-28
Esteban Ocon,Autodromo Enzo e Dino Ferrari,0,0.9426229508196722,1,9,0.4999999999999999,1996-09-17,2016-08-28
Esteban Ocon,Autodromo Internazionale del Mugello,0,0.9426229508196722,1,100,-1.0,1996-09-17,2016-08-28
Esteban Ocon,Autodromo Nazionale di Monza,0,0.9426229508196722,1,6,1.7,1996-09-17,2016-08-28
Esteban Ocon,Autódromo Hermanos Rodríguez,0,0.9426229508196722,1,5,1.1,1996-09-17,2016-08-28
Esteban Ocon,Autódromo Internacional do Algarve,0,0.9426229508196722,1,7,2.0,1996-09-17,2016-08-28
Esteban Ocon,Autódromo José Carlos Pace,0,0.9426229508196722,1,8,0.8,1996-09-17,2016-08-28
Esteban Ocon,Bahrain International Circuit,0,0.9426229508196722,1,2,1.642857142857143,1996-09-17,2016-08-28
Esteban Ocon,Baku City Circuit,0,0.9426229508196722,1,6,0.5,1996-09-17,2016-08-28
Esteban Ocon,Circuit Gilles Villeneuve,0,0.9426229508196722,1,6,2.0,1996-09-17,2016-08-28
Esteban Ocon,Circuit Park Zandvoort,0,0.9426229508196722,1,9,2.0,1996-09-17,2016-08-28
Esteban Ocon,Circuit Paul Ricard,0,0.9426229508196722,1,8,0.4999999999999999,1996-09-17,2016-08-28
Esteban Ocon,Circuit de Barcelona-Catalunya,0,0.9426229508196722,1,5,1.2499999999999998,1996-09-17,2016-08-28
Esteban Ocon,Circuit de Monaco,0,0.9426229508196722,1,3,1.7999999999999998,1996-09-17,2016-08-28
Esteban Ocon,Circuit de Spa-Francorchamps,0,0.9426229508196722,1,5,1.7857142857142856,1996-09-17,2016-08-28
Esteban Ocon,Circuit of the Americas,0,0.9426229508196722,1,6,0.2,1996-09-17,2016-08-28
Esteban Ocon,Hockenheimring,0,0.9426229508196722,1,8,2.0,1996-09-17,2016-08-28
Esteban Ocon,Hungaroring,0,0.9426229508196722,1,1,1.9166666666666667,1996-09-17,2016-08-28
Esteban Ocon,Istanbul Park,0,0.9426229508196722,1,10,1.25,1996-09-17,2016-08-28
Esteban Ocon,Jeddah Corniche Circuit,0,0.9426229508196722,1,4,2.0,1996-09-17,2016-08-28
Esteban Ocon,Losail International Circuit,0,0.9426229508196722,1,5,2.0,1996-09-17,2016-08-28
Esteban Ocon,Marina Bay Street Circuit,0,0.9426229508196722,1,10,0.125,1996-09-17,2016-08-28
Esteban Ocon,Miami International Autodrome,0,0.9426229508196722,1,8,2.0,1996-09-17,2016-08-28
Esteban Ocon,Nürburgring,0,0.9426229508196722,1,100,-1.0,1996-09-17,2016-08-28
Esteban Ocon,Red Bull Ring,0,0.9426229508196722,1,5,0.875,1996-09-17,2016-08-28
Esteban Ocon,Sepang International Circuit,0,0.9426229508196722,1,10,1.25,1996-09-17,2016-08-28
Esteban Ocon,Shanghai International Circuit,0,0.9426229508196722,1,10,1.25,1996-09-17,2016-08-28
Esteban Ocon,Silverstone Circuit,0,0.9426229508196722,1,6,1.1428571428571428,1996-09-17,2016-08-28
Esteban Ocon,Sochi Autodrom,0,0.9426229508196722,1,7,1.625,1996-09-17,2016-08-28
Esteban Ocon,Suzuka Circuit,0,0.9426229508196722,1,4,1.625,1996-09-17,2016-08-28
Esteban Ocon,Yas Marina Circuit,0,0.9426229508196722,1,7,1.2499999999999998,1996-09-17,2016-08-28
Fernando Alonso,Albert Park Grand Prix Circuit,0,0.9388646288209608,1,2,1.65,1981-07-29,2010-03-14
Fernando Alonso,Autodromo Enzo e Dino Ferrari,0,0.9388646288209608,1,10,0.5,1981-07-29,2010-03-14
Fernando Alonso,Autodromo Nazionale di Monza,0,0.9388646288209608,1,1,1.818181818181818,1981-07-29,2010-03-14
Fernando Alonso,Autódromo Hermanos Rodríguez,0,0.9388646288209608,1,9,0.4999999999999999,1981-07-29,2010-03-14
Fernando Alonso,Autódromo Internacional do Algarve,0,0.9388646288209608,1,8,2.0,1981-07-29,2010-03-14
Fernando Alonso,Autódromo José Carlos Pace,0,0.9388646288209608,1,2,2.2727272727272725,1981-07-29,2010-03-14
Fernando Alonso,Bahrain International Circuit,0,0.9388646288209608,1,1,2.15,1981-07-29,2010-03-14
Fernando Alonso,Baku City Circuit,0,0.9388646288209608,1,4,1.4999999999999998,1981-07-29,2010-03-14
Fernando Alonso,Buddh International Circuit,0,0.9388646288209608,1,2,2.833333333333333,1981-07-29,2010-03-14
Fernando Alonso,Circuit Gilles Villeneuve,0,0.9388646288209608,1,2,1.4545454545454544,1981-07-29,2010-03-14
Fernando Alonso,Circuit Park Zandvoort,0,0.9388646288209608,1,6,2.0,1981-07-29,2010-03-14
Fernando Alonso,Circuit Paul Ricard,0,0.9388646288209608,1,6,1.5,1981-07-29,2010-03-14
Fernando Alonso,Circuit de Barcelona-Catalunya,1,0.9388646288209608,1,1,2.041666666666667,1981-07-29,2010-03-14
Fernando Alonso,Circuit de Monaco,0,0.9388646288209608,1,2,1.8636363636363635,1981-07-29,2010-03-14
Fernando Alonso,Circuit de Spa-Francorchamps,0,0.9388646288209608,1,2,0.818181818181818,1981-07-29,2010-03-14
Fernando Alonso,Circuit of the Americas,0,0.9388646288209608,1,3,1.0555555555555554,1981-07-29,2010-03-14
Fernando Alonso,Hockenheimring,0,0.9388646288209608,1,1,3.6,1981-07-29,2010-03-14
Fernando Alonso,Hungaroring,0,0.9388646288209608,1,2,2.5,1981-07-29,2010-03-14
Fernando Alonso,Istanbul Park,0,0.9388646288209608,1,3,2.1666666666666665,1981-07-29,2010-03-14
Fernando Alonso,Jeddah Corniche Circuit,0,0.9388646288209608,1,3,1.1666666666666663,1981-07-29,2010-03-14
Fernando Alonso,Korean International Circuit,0,0.9388646288209608,1,1,3.875,1981-07-29,2010-03-14
Fernando Alonso,Losail International Circuit,0,0.9388646288209608,1,3,4.0,1981-07-29,2010-03-14
Fernando Alonso,Marina Bay Street Circuit,0,0.9388646288209608,1,1,2.0500000000000003,1981-07-29,2010-03-14
Fernando Alonso,Miami International Autodrome,0,0.9388646288209608,1,3,2.25,1981-07-29,2010-03-14
Fernando Alonso,Nürburgring,0,0.9388646288209608,1,2,3.0,1981-07-29,2010-03-14
Fernando Alonso,Red Bull Ring,0,0.9388646288209608,1,5,1.1666666666666663,1981-07-29,2010-03-14
Fernando Alonso,Sepang International Circuit,0,0.9388646288209608,1,1,1.5625,1981-07-29,2010-03-14
Fernando Alonso,Shanghai International Circuit,0,0.9388646288209608,1,1,2.1666666666666665,1981-07-29,2010-03-14
Fernando Alonso,Silverstone Circuit,0,0.9388646288209608,1,1,2.2916666666666665,1981-07-29,2010-03-14
Fernando Alonso,Sochi Autodrom,0,0.9388646288209608,1,6,1.0,1981-07-29,2010-03-14
Fernando Alonso,Suzuka Circuit,0,0.9388646288209608,1,2,1.2,1981-07-29,2010-03-14
Fernando Alonso,Valencia Street Circuit,1,0.9388646288209608,1,1,4.5,1981-07-29,2010-03-14
Fernando Alonso,Yas Marina Circuit,0,0.9388646288209608,1,2,1.8181818181818183,1981-07-29,2010-03-14
George Russell,Albert Park Grand Prix Circuit,0,0.9361702127659576,1,3,1.1666666666666663,1998-02-15,2019-03-17
George Russell,Autodromo Enzo e Dino Ferrari,0,0.9361702127659576,1,4,0.0,1998-02-15,2019-03-17
George Russell,Autodromo Internazionale del Mugello,0,0.9361702127659576,1,11,0.5,1998-02-15,2019-03-17
George Russell,Autodromo Nazionale di Monza,0,0.9361702127659576,1,3,1.75,1998-02-15,2019-03-17
George Russell,Autódromo Hermanos Rodríguez,0,0.9361702127659576,1,4,1.0,1998-02-15,2019-03-17
George Russell,Autódromo Internacional do Algarve,0,0.9361702127659576,1,14,0.5,1998-02-15,2019-03-17
George Russell,Autódromo José Carlos Pace,0,0.9361702127659576,1,1,2.833333333333333,1998-02-15,2019-03-17
George Russell,Bahrain International Circuit,0,0.9361702127659576,1,4,1.25,1998-02-15,2019-03-17
George Russell,Baku City Circuit,0,0.9361702127659576,1,3,1.375,1998-02-15,2019-03-17
George Russell,Circuit Gilles Villeneuve,0,0.9361702127659576,1,4,0.4999999999999999,1998-02-15,2019-03-17
George Russell,Circuit Park Zandvoort,0,0.9361702127659576,1,2,2.25,1998-02-15,2019-03-17
George Russell,Circuit Paul Ricard,0,0.9361702127659576,1,3,1.6666666666666663,1998-02-15,2019-03-17
George Russell,Circuit de Barcelona-Catalunya,0,0.9361702127659576,1,3,1.9,1998-02-15,2019-03-17
George Russell,Circuit de Monaco,0,0.9361702127659576,1,5,1.25,1998-02-15,2019-03-17
George Russell,Circuit de Spa-Francorchamps,0,0.9361702127659576,1,2,1.4999999999999998,1998-02-15,2019-03-17
George Russell,Circuit of the Americas,0,0.9361702127659576,1,5,1.0,1998-02-15,2019-03-17
George Russell,Hockenheimring,0,0.9361702127659576,1,11,0.5,1998-02-15,2019-03-17
George Russell,Hungaroring,0,0.9361702127659576,1,3,1.7999999999999998,1998-02-15,2019-03-17
George Russell,Istanbul Park,0,0.9361702127659576,1,15,0.5,1998-02-15,2019-03-17
George Russell,Jeddah Corniche Circuit,0,0.9361702127659576,1,4,1.0,1998-02-15,2019-03-17
George Russell,Losail International Circuit,0,0.9361702127659576,1,17,0.5,1998-02-15,2019-03-17
George Russell,Marina Bay Street Circuit,0,0.9361702127659576,1,14,-0.25,1998-02-15,2019-03-17
George Russell,Miami International Autodrome,0,0.9361702127659576,1,4,2.0,1998-02-15,2019-03-17
George Russell,Nürburgring,0,0.9361702127659576,1,100,-1.0,1998-02-15,2019-03-17
George Russell,Red Bull Ring,0,0.9361702127659576,1,4,0.4999999999999999,1998-02-15,2019-03-17
George Russell,Shanghai International Circuit,0,0.9361702127659576,1,16,0.5,1998-02-15,2019-03-17
George Russell,Silverstone Circuit,1,0.9361702127659576,1,5,0.5,1998-02-15,2019-03-17
George Russell,Sochi Autodrom,0,0.9361702127659576,1,10,0.4999999999999999,1998-02-15,2019-03-17
George Russell,Suzuka Circuit,0,0.9361702127659576,1,8,1.25,1998-02-15,2019-03-17
George Russell,Yas Marina Circuit,0,0.9361702127659576,1,5,0.5,1998-02-15,2019-03-17
Guanyu Zhou,Albert Park Grand Prix Circuit,0,0.9411764705882352,1,9,1.25,1999-05-30,2022-03-20
Guanyu Zhou,Autodromo Enzo e Dino Ferrari,0,0.9411764705882352,1,15,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Autodromo Nazionale di Monza,0,0.9411764705882352,1,10,2.0,1999-05-30,2022-03-20
Guanyu Zhou,Autódromo Hermanos Rodríguez,0,0.9411764705882352,1,13,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Autódromo José Carlos Pace,0,0.9411764705882352,1,12,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Bahrain International Circuit,0,0.9411764705882352,1,10,1.25,1999-05-30,2022-03-20
Guanyu Zhou,Baku City Circuit,0,0.9411764705882352,1,100,-1.0,1999-05-30,2022-03-20
Guanyu Zhou,Circuit Gilles Villeneuve,0,0.9411764705882352,1,8,1.25,1999-05-30,2022-03-20
Guanyu Zhou,Circuit Park Zandvoort,0,0.9411764705882352,1,16,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Circuit Paul Ricard,0,0.9411764705882352,1,16,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Circuit de Barcelona-Catalunya,0,0.9411764705882352,1,9,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Circuit de Monaco,0,0.9411764705882352,1,13,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Circuit de Spa-Francorchamps,0,0.9411764705882352,1,13,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Circuit of the Americas,0,0.9411764705882352,1,12,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Hungaroring,0,0.9411764705882352,1,13,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Jeddah Corniche Circuit,0,0.9411764705882352,1,11,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Marina Bay Street Circuit,0,0.9411764705882352,1,100,-1.0,1999-05-30,2022-03-20
Guanyu Zhou,Miami International Autodrome,0,0.9411764705882352,1,16,-0.25,1999-05-30,2022-03-20
Guanyu Zhou,Red Bull Ring,0,0.9411764705882352,1,12,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Silverstone Circuit,0,0.9411764705882352,1,15,-0.25,1999-05-30,2022-03-20
Guanyu Zhou,Suzuka Circuit,0,0.9411764705882352,1,16,0.5,1999-05-30,2022-03-20
Guanyu Zhou,Yas Marina Circuit,0,0.9411764705882352,1,12,0.5,1999-05-30,2022-03-20
Kevin Magnussen,Albert Park Grand Prix Circuit,0,0.9215686274509804,1,2,0.5625,1992-10-05,2014-03-16
Kevin Magnussen,Autodromo Enzo e Dino Ferrari,0,0.9215686274509804,1,9,0.5,1992-10-05,2014-03-16
Kevin Magnussen,Autodromo Internazionale del Mugello,0,0.9215686274509804,1,100,-1.0,1992-10-05,2014-03-16
Kevin Magnussen,Autodromo Nazionale di Monza,0,0.9215686274509804,1,10,0.2857142857142857,1992-10-05,2014-03-16
Kevin Magnussen,Autódromo Hermanos Rodríguez,0,0.9215686274509804,1,8,0.8,1992-10-05,2014-03-16
Kevin Magnussen,Autódromo Internacional do Algarve,0,0.9215686274509804,1,16,0.5,1992-10-05,2014-03-16
Kevin Magnussen,Autódromo José Carlos Pace,0,0.9215686274509804,1,9,0.4999999999999999,1992-10-05,2014-03-16
Kevin Magnussen,Bahrain International Circuit,0,0.9215686274509804,1,5,0.4999999999999999,1992-10-05,2014-03-16
Kevin Magnussen,Baku City Circuit,0,0.9215686274509804,1,7,0.5,1992-10-05,2014-03-16
Kevin Magnussen,Circuit Gilles Villeneuve,0,0.9215686274509804,1,9,0.75,1992-10-05,2014-03-16
Kevin Magnussen,Circuit Park Zandvoort,0,0.9215686274509804,1,15,0.5,1992-10-05,2014-03-16
